Anthem,Tempo,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Zero-Crossing Rate,Chroma Features,Harmonic-to-Noise Ratio
is.mp3,[112.34714674],1221.672814620673,1324.769753135023,2245.4267386328765,0.07152195792903905,0.2909302,0.08974185
gl.mp3,[99.38401442],1068.8136647887022,1090.7571838545064,1921.9881265470297,0.06855206307461104,0.25692722,0.040822554
mz.mp3,[103.359375],1389.0976449239008,1716.9422091841684,2788.248275517527,0.06441793520117625,0.3710111,0.07904833
cm.mp3,[103.359375],1838.985329307261,1989.027561427442,3606.962255859375,0.096279296875,0.28887793,0.09298639
ve.mp3,[89.10290948],1816.2705640891882,1917.734135983386,3579.4121320857557,0.09949307596473295,0.31628597,0.07819609
md.mp3,[172.265625],2078.3346360475116,2306.691815939258,4464.161909217934,0.09748254681380548,0.32553527,0.074637145
dk.mp3,[135.99917763],1439.8836664260662,1567.4019435501248,2612.6344842425847,0.08523846731626242,0.26925492,0.08518471
au.mp3,[95.703125],1242.0026805778941,1417.4519848648881,2305.068278098992,0.0766866230527102,0.2743939,0.08905994
tw.mp3,[99.38401442],1568.6231059554448,1519.346946750314,2959.267262072409,0.10071075827017616,0.29178166,0.13799249
nz.mp3,[135.99917763],2084.9720031818715,2251.9089470331537,4353.6113158638755,0.1017283858013294,0.2631693,0.03737248
qa.mp3,[95.703125],2131.579386810193,2188.7632411328987,4384.036581418443,0.11277961270615447,0.34330803,0.10509371
me.mp3,[92.28515625],1407.8466807001867,1774.5141307141525,2933.6055443420355,0.06379354389894698,0.32612124,0.118862376
gb.mp3,[112.34714674],1779.4985361679303,1902.2496218050217,3405.7966550308242,0.0959604745583364,0.33234707,0.07412731
lb.mp3,[107.66601562],1775.2365053165906,1926.1922470970624,3555.1900871518224,0.09025456893340211,0.30041042,0.09219543
mu.mp3,[135.99917763],1853.0391307250975,1892.1417298158237,3522.1287153343455,0.10336617082592812,0.3057378,0.09158681
kp.mp3,[117.45383523],2153.6920392915254,1969.5137346836325,3857.431873837318,0.13745962159667743,0.2575194,0.07379294
ls.mp3,[99.38401442],1633.3220292884466,1959.107808476553,3433.4210296175374,0.06886876568129181,0.3144654,0.13137113
lv.mp3,[75.99954044],1577.1444001607638,1883.7149581479684,3245.1733136839193,0.0772055620284824,0.28464574,0.113566086
bd.mp3,[66.25600962],2532.762528933375,2445.7724964634976,5305.35644279082,0.12044929271927182,0.28510898,0.09931509
ie.mp3,[103.359375],1919.9918323201366,2080.745481126921,3997.4313166058596,0.09224339763351667,0.33975196,0.0567917
ye.mp3,[112.34714674],1868.8757380423333,2008.1321127447857,3908.015884891633,0.09012703651268976,0.23814325,0.13202557
ru.mp3,[83.35433468],1350.4508690895832,1512.343552408704,2617.9419937211933,0.08135925897277228,0.3298809,0.0866502
sk.mp3,[83.35433468],1619.7355384791933,1855.601427606115,3209.971407966135,0.08411308512029289,0.29957485,0.14686504
pk.mp3,[75.99954044],1930.295508045446,2056.7229288843787,3886.0031497579225,0.10059501540492957,0.32812303,0.09143815
kr.mp3,[143.5546875],1404.2129663722858,1576.5032846259414,2626.732835491884,0.07927419915554207,0.29165038,0.083300844
sg.mp3,[95.703125],1772.9575875966789,1850.3802125824466,3366.8224315749308,0.10269558670298333,0.28597286,0.09186892
mt.mp3,[117.45383523],1543.734658473975,1735.6906543272785,2904.047472923852,0.08418623818089914,0.26304072,0.13612315
so.mp3,[92.28515625],1650.8246882728315,1939.0269900023852,3478.7264791349085,0.070821537456446,0.24001388,0.15318447
ge.mp3,[129.19921875],1345.8569883153568,1575.6861468071388,2589.284586654651,0.0720569849207961,0.29120713,0.05162595
rs.mp3,[95.703125],1596.9478084401019,1811.2985738612222,3083.4274970456217,0.08283050723354403,0.27544194,0.08850224
ke.mp3,[123.046875],1757.5424494637127,1819.7783906121297,3382.0960363831705,0.09662856580715902,0.28402936,0.12191763
sh.mp3,[60.09265988],1474.4400846115302,1332.6607153846908,2466.6120359883507,0.10384654595704776,0.2525379,0.042159975
mk.mp3,[71.77734375],2217.9924573685835,2329.2826585201306,4684.087057007289,0.1083755209543448,0.33148012,0.14215948
gh.mp3,[99.38401442],2013.869637901084,2203.2308682627886,4327.179654029108,0.0957553002142137,0.35143858,0.037694015
